Group,Session,mean pressure,mean,pressure difference,diff,Succes
1,1,78,7.7,9.4,-6.3,1
1,2,81.5,11.2,7,-8.8,1
1,3,79,8.7,28,12.2,1
1,4,93,22.7,26,10.2,1
1,5,71.6,1.3,24.9,9.1,1
1,6,73.7,3.4,33.7,17.9,1
1,7,72.6,2.3,40.2,24.4,1
1,8,63.3,-7,17.5,1.7,1
1,9,77.5,7.2,32.7,17,1
1,10,80.3,10,28.4,12.6,1
1,11,82,11.7,45,29.2,1
1,12,79.1,8.8,34.9,19.2,1
1,13,89.8,19.5,3,-12.8,0
1,14,81.5,11.2,13,-2.8,1
1,15,78,7.7,53,37.2,1
1,16,67,-3.3,64,48.2,1
1,17,67.5,-2.8,7,-8.8,1
1,18,63.1,-7.2,24.3,8.5,1
1,19,84,13.8,27.8,12.1,0
1,20,75.4,5.1,18.8,3,1
1,21,79.5,9.2,45,29.2,1
1,22,65,-5.3,82,66.2,1
1,23,71,0.7,17,1.2,1
1,24,85.4,15.1,16.3,0.6,0
1,25,82.5,12.2,9,-6.8,1
1,26,72,1.7,8,-7.8,1
1,27,69,-1.3,28,12.2,1
1,28,91.5,21.2,37,21.2,1
1,29,82.8,12.5,27.5,11.7,1
1,30,76,5.7,30.8,15.1,1
1,31,68.4,-1.9,31.8,16,1
1,32,68.1,-2.1,21.3,5.5,1
1,33,70.3,0,33.8,18.1,1
1,34,66.7,-3.6,37.3,21.6,1
1,35,68.2,-2.1,15,-0.8,1
1,36,58.3,-11.9,36.7,20.9,1
1,37,77.3,7,15.2,-0.5,1
1,38,70.3,0.1,29.3,13.6,1
1,39,74.7,4.5,14.1,-1.7,0
1,40,64,-6.3,22,6.2,1
1,41,82,11.7,22,6.2,1
1,42,63.8,-6.5,26.5,10.7,1
1,43,80.8,10.5,16.5,0.7,1
1,44,65.4,-4.8,2.8,-12.9,1
1,45,88.5,18.2,43,27.2,1
1,46,64.3,-6,16.5,0.7,1
1,47,65.2,-5.1,4.3,-11.4,1
1,48,84,13.7,19.2,3.5,0
1,49,76,5.7,12.7,-3.1,1
1,50,68.5,-1.8,16.7,0.9,1
1,51,75.5,5.2,15,-0.8,1
1,52,74.7,4.4,2.5,-13.3,1
1,53,75.8,5.6,20.3,4.6,1
1,54,73.6,3.3,9.4,-6.3,1
1,55,74.5,4.2,3,-12.8,1
1,56,71.9,1.6,10.6,-5.1,1
1,57,74.6,4.3,23,7.2,0
1,58,82.5,12.2,27,11.2,1
1,59,69.5,-0.8,3,-12.8,1
1,60,69.3,-1,7.5,-8.3,1
1,61,70,-0.3,6.7,-9.1,1
1,62,87.1,16.9,10.6,-5.1,0
1,63,74.6,4.4,8.3,-7.5,1
1,64,78.3,8,3.5,-12.3,1
1,65,72.5,2.2,1,-14.8,1
1,66,71.5,1.2,3,-12.8,1
1,67,65.6,-4.6,17.4,1.7,1
1,68,72.2,1.9,3.2,-12.5,1
1,69,83.3,13,28.5,12.7,1
1,70,68.7,-1.5,8,-7.8,1
1,71,70.6,0.4,2.8,-13,1
1,72,72.6,2.3,12.4,-3.3,1
1,73,66.1,-4.1,5.8,-10,1
1,74,64.8,-5.4,19,3.2,1
1,75,69.6,-0.7,7.4,-8.3,1
1,76,77.4,7.1,24.9,9.1,1
1,77,75.3,5,19,3.3,1
1,78,85.4,15.2,30.3,14.5,1
1,79,68.9,-1.4,9,-6.8,1
1,80,65.8,-4.5,12.9,-2.8,1
1,81,84.9,14.7,23,7.3,0
1,82,73.1,2.9,1.3,-14.5,1
1,83,80.8,10.5,24,8.2,1
1,84,72.7,2.5,10.6,-5.2,1
1,85,70.3,0,18.5,2.7,1
1,86,74.6,4.4,20.1,4.4,1
1,87,76.5,6.3,13.5,-2.2,0
1,88,76.3,6.1,16.7,0.9,1
1,89,72,1.7,4,-11.8,1
1,90,60,-10.3,2.3,-13.4,1
1,91,56.7,-13.6,0,-15.8,1
1,92,60.1,-10.1,8.8,-7,1
1,93,74.9,4.6,16,0.2,1
1,94,69.4,-0.9,20.8,5,1
1,95,65.5,-4.8,6.5,-9.3,1
1,96,68.1,-2.2,23.4,7.7,1
1,97,76.4,6.1,29.7,13.9,1
1,98,78.7,8.4,47.8,32,1
1,99,88.3,18.1,34.5,18.8,1
1,100,73.4,3.1,13.9,-1.9,1
1,101,76.3,6.1,11.3,-4.4,0
1,102,77.1,6.8,32.4,16.6,1
2,1,53,-17.3,15,-0.8,1
2,2,70.5,0.2,6,-9.8,1
2,3,60.16666667,-10.1,15.4,-0.4,1
2,4,64.6,-5.7,1,-14.8,1
2,5,69.2,-1.1,9.7,-6.1,1
2,6,69.41176471,-0.9,2.7,-13.1,1
2,7,72.83333333,2.6,3,-12.8,1
2,8,70.75,0.5,6.5,-9.3,1
2,9,70.83333333,0.6,6.3,-9.4,1
2,10,70.25,0,4.8,-10.9,1
2,11,80.77777778,10.5,5.8,-9.9,1
